89.248.173.131 - - [20/Feb/2022:02:04:24 +0100] "GET /remote/login?lang=en HTTP/1.1" 200 595 "-" "python-requests/2.21.0"
93.158.91.249 - - [20/Feb/2022:02:26:51 +0100] "GET /robots.txt HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.92.11 - - [20/Feb/2022:02:26:51 +0100] "GET /robots.txt HTTP/1.1" 200 108 "http://krzwiatrzyk.eu/robots.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.92.13 - - [20/Feb/2022:02:26:51 +0100] "GET /sitemap.xml HTTP/1.1" 200 642 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.250 - - [20/Feb/2022:02:26:51 +0100] "GET /humans.txt HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.243 - - [20/Feb/2022:02:26:51 +0100] "GET /humans.txt HTTP/1.1" 301 5 "http://krzwiatrzyk.eu/humans.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.253 - - [20/Feb/2022:02:26:51 +0100] "GET /humans.txt/ HTTP/1.1" 404 12237 "https://krzwiatrzyk.eu/humans.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.235 - - [20/Feb/2022:02:26:51 +0100] "GET /ads.txt HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.92.13 - - [20/Feb/2022:02:26:52 +0100] "GET /ads.txt HTTP/1.1" 301 5 "http://krzwiatrzyk.eu/ads.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.245 - - [20/Feb/2022:02:26:52 +0100] "GET /ads.txt/ HTTP/1.1" 404 12237 "https://krzwiatrzyk.eu/ads.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.241 - - [20/Feb/2022:02:26:52 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
93.158.91.241 - - [20/Feb/2022:02:26:52 +0100] "GET / HTTP/1.1" 200 13172 "http://krzwiatrzyk.eu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
